,Full Name,Abbreviation,smiles,Concentration (umol/mL),C atom,H atom,N atom,F atom,O atom,Ipc,Molecular weight,Hydrogen bond donor,Hydrogen bond acceptor,Rotatable bond,Complexity,MolLogP
1,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,3.299567757,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
2,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,6.599135513,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
3,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,9.89870327,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
4,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,13.19827103,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
5,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,16.49783878,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
6,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,19.79740654,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
7,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,23.0969743,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
8,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,26.39654205,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
9,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,29.69610981,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
10,(4-(trifluoromethyl)phenyl)methanaminium iodide,4-3FMPEAI,[I-].[NH3+]Cc1ccc(cc1)C(F)(F)F,32.99567757,8,9,1,0,0,430.628114,303.07,1,0,1,255.09,-1.55
