Full Name,Abbreviation,smiles,Concentration (mg/mL),C atom,H atom,N atom,F atom,O atom,Ipc,Molecular weight,Hydrogen bond donor,Hydrogen bond acceptor,Rotatable bond,TPSA,Heavy atom,Complexity,MolLogP,Voc(V)_mean,Jsc(mA/cm2)_mean,FF(%)_mean,PCE(%)_mean,Voc(V)_max,Jsc(mA/cm2)_max,FF(%)_max,ratio
n-Butylammonium iodide,n-BAI,[I-].CCCC[NH3+],5,4,12,1,0,0,11.2451125,201.05,1,0,2,27.64,6,15.02,-2.97,1.08,22.23,68.99,16.59,1.12,23.33,73.43,1.06015891
Cyclohexylmethylammonium iodide,CHMAI,[I-].[NH3+]CC1CCCCC1,5,7,16,1,0,0,91.36757728,241.12,1,0,1,27.64,9,59.94,-2.19,1.05,21.89,70.54,16.28,1.08,22.96,75.57,1.061861521
Ethylammonium iodide,EAI,[I-].CC[NH3+],5,2,8,1,0,0,2.754887502,173,1,0,0,27.64,4,6,-3.75,1.07,24.5,71.7,18.88,1.09,25.62,74.04,1.063230606
Ethylammonium iodide,EAI,[I-].CC[NH3+],7.5,2,8,1,0,0,2.754887502,173,1,0,0,27.64,4,6,-3.75,1.09,22.4,69.38,16.84,1.11,24.56,75.72,1.059511158
Ethylammonium iodide,EAI,[I-].CC[NH3+],10,2,8,1,0,0,2.754887502,173,1,0,0,27.64,4,6,-3.75,1.08,23.14,69.4,17.41,1.1,25.88,73.39,1.069075452
Ethylammonium iodide,EAI,[I-].CC[NH3+],12.5,2,8,1,0,0,2.754887502,173,1,0,0,27.64,4,6,-3.75,1.09,23.05,62.95,15.86,1.1,25.48,66.76,0.972369819
Ethylammonium iodide,EAI,[I-].CC[NH3+],15,2,8,1,0,0,2.754887502,173,1,0,0,27.64,4,6,-3.75,1.1,16.55,51.51,9.45,1.14,18.37,63.52,0.693942614
Guanidinium iodide,GAI,[I-].NC([NH3+])=N,5,1,6,3,0,0,3.245112498,186.98,3,1,0,77.51,5,29.87,-4.87,1.04,21.54,68.96,15.51,1.07,23.32,76.31,0.94314559
4-Fluoro-phenethylammonium iodide,4-F-PEAI,[I-].[NH3+]CCc1ccc(F)cc1,5,8,11,1,1,0,210.075617,267.09,1,0,2,27.64,11,197.75,-2.39,1.06,23.44,74.13,18.39,1.07,25.27,76.75,1.092290988
2-Fluoro-phenethylammonium iodide,2-F-PEAI,[I-].[NH3+]CCc1ccccc1F,1,8,11,1,1,0,213.8116245,267.09,1,0,2,27.64,11,215,-2.39,1.12,22.4,71.13,17.81,1.13,22.87,73.13,0.93678447
2-Fluoro-phenethylammonium iodide,2-F-PEAI,[I-].[NH3+]CCc1ccccc1F,3,8,11,1,1,0,213.8116245,267.09,1,0,2,27.64,11,215,-2.39,1.14,23.35,74.24,19.75,1.15,24.47,75.99,1.054255849
