Full Name,smiles,Concentration (μmol/mL),C atom,H atom,N atom,F atom,O atom,Ipc,Molecular weight,Hydrogen bond donor,Hydrogen bond acceptor,Rotatable bond,Complexity,MolLogP
Benzimidazolium iodide,[I-].[nH]1c[nH+]c2ccccc12,1,7,7,2,0,0,254.26899,246.051,1,0,0,285.5838927,-2.014
1-phenylpent-4-en-2-aminium iodide,[I-].[NH3+]C(CC=C)Cc1ccccc1,1,11,16,1,0,0,585.3846826,289.16,1,0,4,233.1054117,-1.5803
1-cyclohexyl-3-phenylpropan-2-aminium iodide,[I-].[NH3+]C(CC1CCCCC1)Cc2ccccc2,1,15,24,1,0,0,6213.389727,345.268,1,0,4,293.0499463,-0.186
"2-benzylcyclohexa-2,4-dien-1-aminium iodide",[I-].[NH3+]C1CC=CC=C1Cc2ccccc2,1,13,16,1,0,0,2329.165208,313.182,1,0,2,354.0585193,-1.2701
cyclopropanaminium iodide,[I-].[NH3+]C1CC1,1,3,8,1,0,0,14,185.008,1,0,0,26.07403392,-3.6053
2-phenylcyclopropan-1-aminium iodide,[I-].[NH3+]C1CC1c2ccccc2,1,9,12,1,0,0,495.2715118,261.106,1,0,1,222.2641593,-2.2116
"2,3,4,5-tetrahydro-[1,1'-biphenyl]-4-aminium iodide",[I-].[NH3+]C1CCC(=CC1)c2ccccc2,1,12,16,1,0,0,1444.823681,301.171,1,0,1,305.3575849,-1.1316
"4,4-difluorocyclohexan-1-aminium iodide",[I-].[NH3+]C1CCC(F)(F)CC1,1,6,12,1,2,0,92.36474704,263.069,1,0,0,97.92093862,-2.1898
2-phenylcyclopent-2-en-1-aminium iodide,[I-].[NH3+]C1CCC=C1c2ccccc2,1,11,14,1,0,0,1072.900983,287.144,1,0,1,292.2184055,-1.5217
"3,4,5,6-tetrahydro-[1,1'-biphenyl]-3-aminium iodide",[I-].[NH3+]C1CCCC(=C1)c2ccccc2,1,12,16,1,0,0,1420.655007,301.171,1,0,1,305.3575849,-1.1316
